GitCommitMessage	IsUseful	MatchedOnKeyword
chore: bump chromium to 100.0.4857.0 (main) (#32419)* chore: bump chromium in deps to 99.0.4819.0* chore: update patches* chore: bump chromium in deps to 99.0.4824.0* chore: update patches* chore: bump chromium in deps to 99.0.4827.0* chore: update patches* 3352511: pip: add inkdrop and pointer cursor to pip window buttonshttps://chromium-review.googlesource.com/c/chromium/src/+/3352511* 3309164: webhid: show fido devices in the chooser if allowedhttps://chromium-review.googlesource.com/c/chromium/src/+/3309164* 3297868: hid: add experimental hiddevice.forget()https://chromium-review.googlesource.com/c/chromium/src/+/3297868* 3362491: [extensions] move i18n api to //extensionshttps://chromium-review.googlesource.com/c/chromium/src/+/3362491* mcc refactor step0: allow embedders to register associated_interface binders with renderframehostimpl::associated_registry_.https://chromium-review.googlesource.com/c/chromium/src/+/3281481* 3352616: [gtk] remove libgtk from the link-linehttps://chromium-review.googlesource.com/c/chromium/src/+/3352616* 3249211: clear-site-data support for partitioned cookieshttps://chromium-review.googlesource.com/c/chromium/src/+/3249211* [extensions][coil] use [allow|block]list in //extensions/commonhttps://chromium-review.googlesource.com/c/chromium/src/+/3372668* begin scopeduserprefupdate migration to modern base::valuehttps://chromium-review.googlesource.com/c/chromium/src/+/3376154* [code health] refactor prefservice getdict + getlist to use base::valuehttps://chromium-review.googlesource.com/c/chromium/src/+/3343526* 3354997: [codehealth] remove deprecated setdictionary methodhttps://chromium-review.googlesource.com/c/chromium/src/+/3354997* 3287323: add lacrosprefstore for lacros settingshttps://chromium-review.googlesource.com/c/chromium/src/+/3287323* 3365916: [pa] clean up remaining lazy commit codehttps://chromium-review.googlesource.com/c/chromium/src/+/3365916* [mparch] target the external protocol error at the responsible frame.https://chromium-review.googlesource.com/c/chromium/src/+/3011560* pass origin to registernonnetworksubresourceurlloaderfactorieshttps://chromium-review.googlesource.com/c/chromium/src/+/3350608* linux: send oscrypt raw encryption key to the network servicehttps://chromium-review.googlesource.com/c/chromium/src/+/3320484* [plzserviceworker] remove remaining references to plzserviceworker.https://chromium-review.googlesource.com/c/chromium/src/+/3359441* chore: fixup for lint* 3327621: fix tablet mode detection for win 11.https://chromium-review.googlesource.com/c/chromium/src/+/3327621* 3342428: ax_mac: move axtextmarker conversion utils under ui umbrellahttps://chromium-review.googlesource.com/c/chromium/src/+/3342428* 3353974: mac: use base::feature for overlay featureshttps://chromium-review.googlesource.com/c/chromium/src/+/3353974* chore: bump chromium in deps to 99.0.4828.0* chore: update patches* chore: bump chromium in deps to 99.0.4837.0* chore: update patches* chore: update patches* 3379142: drop fallthrough macroref: https://chromium-review.googlesource.com/c/chromium/src/+/3379142* 3381749: c++17: allow use of std::map::try_emplace and std::map::insert_or_assignref: https://chromium-review.googlesource.com/c/chromium/src/+/3381749* chore: bump chromium in deps to 99.0.4839.0* chore: update patches* chore: bump chromium in deps to 99.0.4840.0* chore: bump chromium in deps to 99.0.4844.0* 3395881: [api] deprecate local<v8::context> v8::object::creationcontext()ref: https://chromium-review.googlesource.com/c/v8/v8/+/3395881* chore: update patches* chore: bump chromium in deps to 100.0.4845.0* chore: update patches* chore: bump chromium in deps to 100.0.4847.0* chore: update patches* chore: bump chromium in deps to 100.0.4849.0* chore: update patches* chore: bump chromium in deps to 100.0.4851.0* chore: bump chromium in deps to 100.0.4853.0* update patches* chore: update patches* update patches* 3383599: fonts access: remove prototype that uses a font picker.https://chromium-review.googlesource.com/c/chromium/src/+/3383599* 3404768: remove allow_unused macroshttps://chromium-review.googlesource.com/c/chromium/src/+/3404768* 3374762: remove ignore_result.hhttps://chromium-review.googlesource.com/c/chromium/src/+/3374762* 3399305: [unseasoned-pdf] apply proper frame offsets for touch selectionshttps://chromium-review.googlesource.com/c/chromium/src/+/3399305* 3402210: [extensions] don't trigger unload event for already unloaded extensionhttps://chromium-review.googlesource.com/c/chromium/src/+/3402210* 3410912: combine urlloaderclient onreceiveresponse and onstartloadingresponsebody.https://chromium-review.googlesource.com/c/chromium/src/+/3410912* 3370428: make the authschemes policy support dynamic refreshhttps://chromium-review.googlesource.com/c/chromium/src/+/3370428* 3407603: finish scopeduserprefupdate migration to modern base::valuehttps://chromium-review.googlesource.com/c/chromium/src/+/3407603* 3378352: ozone/x11: move code from //ui/p/x11 to //ui/ozone/p/x11https://chromium-review.googlesource.com/c/chromium/src/+/3378352* 3370810: delete chrome/service, aka the cloud print service process.https://chromium-review.googlesource.com/c/chromium/src/+/3370810* chore: bump chromium in deps to 100.0.4855.0* chore: update patches* fixup! 3370810: delete chrome/service, aka the cloud print service process.* revert 3348007 to fix windows build* 3318572: [code health] fix gn check errors in //extensions/browser:*https://chromium-review.googlesource.com/c/chromium/src/+/3318572* fix printing.patch* fix iwyu issue* 3408515: win: make shorcutoperation an enum class and modernize nameshttps://chromium-review.googlesource.com/c/chromium/src/+/3408515* 3388333: [uia] remove dead code accessibility_misc_utils.h/cchttps://chromium-review.googlesource.com/c/chromium/src/+/3388333* fix windows build? i hope* patch gn visibility of //ui/ozone/platform/x11* missing include base/logging.h* use buildflag for use_nss_certshttps://chromium-review.googlesource.com/c/chromium/src/+/3379123* defined(os_*) ==> buildflag(is_*)https://bugs.chromium.org/p/chromium/issues/detail?id=1234043* fixup! 3404768: remove allow_unused macros* another attempt to fix windows build* temporarily disable the custom scheme service worker testhttps://github.com/electron/electron/issues/32664* fix loading mv3 extensionsnot sure what cl broke this unfort.* fixup! 3404768: remove allow_unused macros* patch nanhttps://chromium-review.googlesource.com/c/v8/v8/+/3395880* fix node test* fix nullptr in findpdfframe* patch perfetto to fix build issue on win-ia32https://source.chromium.org/chromium/_/android/platform/external/perfetto.git/+/bc44c3c7533c00e56f88c06c592d634aecc884be* fix build for linux-x64-testing-no-run-as-node* fix patch* skip <webview>.capturepage() testhttps://github.com/electron/electron/issues/32705* test: fix failing tests of focus/blur events of webcontents (#32711)* inherit stdio from app module test child processesthis prevents them from timing out due to full stdout buffers* test to see if we can get better logs on windows ci* try again for appveyor log things* skip contenttracing tests on ia32* ci: disable gpu compositing* drop applied patch* fix merge fail* revert "ci: disable gpu compositing"this reverts commit 0344129fcb19ea3e87e06c1110d751f22eba3fec.co-authored-by: electron-roller[bot] <84116207+electron-roller[bot]@users.noreply.github.com>co-authored-by: john kleinschmidt <jkleinsc@electronjs.org>co-authored-by: patchup <73610968+patchup[bot]@users.noreply.github.com>co-authored-by: john kleinschmidt <jkleinsc@github.com>co-authored-by: vertedinde <khammond@slack-corp.com>co-authored-by: vertedinde <vertedinde@electronjs.org>co-authored-by: jeremy rose <jeremya@chromium.org>co-authored-by: jeremy rose <nornagon@nornagon.net>co-authored-by: cheng zhao <zcbenz@gmail.com>co-authored-by: deepak1556 <hop2deep@gmail.com>	True	
fix styling of #1209	False	
remove the output file after testing	False	
remove hideinternalmodules api	False	
add forcefeedback to the frameworks list on mac	True	
chore: bump chromium to 92.0.4496.0 (master) (#28907)co-authored-by: charles kerr <charles@charleskerr.com>	True	
chore: refactor scripts for octokit update  (#16284)* chore: refactor scripts for octokit* update release script* update more octokit scripts* cleanup* remove unecessary refactor* fixup package lock	True	
hide webcontentpreferences::getwebcontentsfromprocessid from public	False	
:memo: add missing words[ci skip]	False	
added a verbose mode to the bootstrap script	True	
final cleanup	False	
make the devtools close button work	True	
do not add search paths in devtools	True	
add initial touch bar docs	True	
removing unused header dependencies	False	
remove lint warnings	False	
fixme: disable some specs	True	
add link to repl documentation	True	
simplify code logic and fix object-c code style.	False	
bump v0.24.0	False	
add test for nativewindowopen + contextisolation	True	
fix: explicitly focus window on win.show() (#18046)	False	
add note about windowsnote "repl is not available on windows."	False	
remove tray.sethighlightmode() deprecation	False	
refactor: remove deprecated getas methods (#13425)* refactor: remove deprecated getas methods* restructure urlrequestasyncasarjob on win* fix: add string conversion header	True	
fix uploading the version file to wrong place.	True	
chore: bump chromium in deps to 91.0.4448.0	True	
clean up variable declarations	False	
added stat time	False	
migrate browserthread::ismessageloopvalid to browserthread::isthreadinitialized.https://chromium-review.googlesource.com/977063	True	
linux: fix modal message box.	False	
win: remove adding default file filter(*.*) in a save dialog.	False	
build: [ci] add gn linux ci build	False	
docs(webframe): add interface instruction	False	
upgrade electron-download for checksum supportfixes #51.	True	
print preview: add validity check for ksettingpagespersheet.https://chromium-review.googlesource.com/c/chromium/src/+/1381133	True	
update libchromiumcontent to latest	True	
chore: update patches (#23902)	False	
add documentation to web-contents.md.	True	
add repl cli option	False	
replace "size()" with "empty()".	False	
refactor: use auto env = base::environment::create(); everywhere (#29502)	True	
update requires paths	False	
add tests	False	
review: re-use devtools network throttling from content layerhttps://chromium-review.googlesource.com/c/chromium/src/+/664356	True	
move the ability to create browsercontext to embedder	True	
update pdf_viewer submodule to use stream url	True	
0.22.3	False	
linux: fix building for chrome 40	True	
don't separate node bindings into renderer and browser part.since we are going to use embeding thread to implement messageintegration on all platforms, we do not need to separate renderer andbrowser anymore.	True	
feat: add a new contextbridge module (#20307)* feat: add a new contextbridge module* chore: fix docs linting* feat: add support for function arguments being proxied* chore: ensure that contextbridge can only be used when contextisolation is enabled* docs: getreversebinding can be null* docs: fix broken links in md file* feat: add support for promises in function parameters* fix: linting failure for explicit constructor* update atom_api_context_bridge.cc* chore: update docs and api design as per feedback* refactor: remove reverse bindings and handle gc'able functions across the bridge* chore: only expose debuggc in testing builds* fix: do not proxy promises as objects* spec: add complete spec coverage for contextbridge* spec: add tests for null/undefined and the anti-overwrite logic* chore: fix linting* spec: add complex nested back-and-forth function calling* fix: expose contextbridge in sandboxed renderers* refactor: improve security of default_app using the new contextbridge module* s/bindapiinmainworld/exposeinmainworld* chore: sorry for this commit, its a big one, i fixed like everything and refactored a lot* chore: remove passedvaluecache as it is unused nowvalues transferred from context a to context b are now cachde in the renderframepersistencestore* chore: move to anonymous namespace* refactor: remove passvaluetoothercontextwithcache* chore: remove commented unused code blocks* chore: remove .only* chore: remote commented code* refactor: extract renderframepersistencestore* spec: ensure it works with numbered keys* fix: handle number keys correctly* fix: sort out the linter* spec: update default_app asar spec for removed file* refactor: change signatures to return v8 objects directly rather than the mate dictionary handle* refactor: use the v8 serializer to support cloneable buffers and other object types* chore: fix linting* fix: handle hash collisions with a linked list in the map* fix: enforce a recursion limit on the context bridge* chore: fix linting* chore: remove todo* chore: adapt for pr feedback* chore: remove .only* chore: clean up docs and clean up the proxy map when objects are released* chore: ensure we cache object values that are cloned through the v8 serializer	True	
upgrade libchromiumcontent to f0c3a45	True	
standard js	False	
feat: migrate protocol module to networkservice (part 10) (#18464)* explicitly call onreceiveredirect for redirections* better way for detecting redirection* create new loader for redirections	True	
correct link of debugging uiusing the link provided one receives a response of `cannot get /[object%20object]`.i've tested this on electron 0.25.3 using the example application and node-inspector version 0.10.0.the url change is the url provided by node-inspector in the terminal window.	True	
hide when not painting + cursor event fix	True	
0.25.3-1	False	
unify the menu of default app	False	
linux: draw menubar text and background with native theme, fixes #540.	False	
standardize build win	False	
fix: changed crlf to lf in some docs files (#20832)	True	
bump v7.0.0-nightly.20190727	False	
revert "disable precompiled headers"this reverts commit 2556d86c8a95b7778316b28a57c207b1ad0195ed.required clang update is now available.	False	
use node's v8platform instead of gin's	True	
ci: start the dbus mock server in gn ci	False	
build: bump libcc to latestthis picks up electron/libchromiumcontent#609.	True	
fix typo in browser-window.md	False	
refactor: reuse upstream //shell_dialogs (#30663)	True	
document shell.moveitemtotrash return value	True	
build: add basic linting for the patches folder to ensure that .patches match the state on disk (#18615)	True	
add spec for changing remote object's properties.	True	
test: skip media-started-playing media-paused events test when media not supported (#27215)	False	
docs: fix relative link to mas builds tutorialsthe link was 404'ing	True	
fix: titlebar and buttons state under simple fullscreen (#30671)	True	
fix linting error	False	
docs: add azure pipelines status (#15455)	False	
text edits per commit comments	False	
translate core team and contributors in about.md	True	
win: update libchromium to fix .pdb missing errors	True	
split ipc tests into three files	True	
add executejavascript method for webcontents.	True	
fix minor text error	False	
only check arrays and objects for cycles	True	
bump v14.0.0-nightly.20210407	False	
move and rename faq	False	
docs: clarify use of pageranges when printing. (#24694)fixes #24684 -- the docs are slightly unclear about how pagerangesshould be used, e.g. whether the page indices are zero-based orone-based.	False	
move common message integration code to nodebindings' base class.	True	
ensure process is cleaned up, to avoid leaks	True	
implement chrome.runtime.onmessage response callback	False	
remove unused header	False	
fix: save crash reports locally when uploadtoserver: false on linux (#24778)* fix: generate dumps under crashdumps folder in linux* update spec-main/api-crash-reporter-spec.tsco-authored-by: jeremy rose <jeremya@chromium.org>co-authored-by: jeremy rose <jeremya@chromium.org>	True	
simplify the setstylemask calls	False	
fix: focus with oopif embedded inside <webview> (#21219)backports https://chromium-review.googlesource.com/c/chromium/src/+/1922650	True	
chore: remove obsolete "install-sysroot.py" script	True	
chore: make large beta numbers work when publishing (#14571)	False	
don't rely on real focus/blur events in testsit is super unreliable.	False	
bump v4.0.0-nightly.20180929	False	
improve the releasing guide	False	
always use guest contents for canaccesswindow check	True	
emit "new-window" event for dispositions other than current_tab	True	
enable web security.	False	
spec: asar: fs.open	False	
spec: webview is disabled when nodeintegration is disabled	False	
denote webview process so linter will recognize it as an api	True	
implement our own navigationcontroller	False	
chore: delete some unreferenced test files (#20511)	True	
[onionsoup] replace content::rendererpreferences with the mojom one.https://chromium-review.googlesource.com/c/1426522	True	
fix: delay handling occlusion events to avoid flicker on macos (#18661)* chore: add debounce on the updatewebcontentsvisibility method to ensure quick changes in occlusion do not result in flickering* chore: update old patch headers	True	
add stringtoaccelerator to parse a string as an accelerator.	True	
docs: option title for showsavedialog is not supported for some platforms (#28747)	True	
replace cmd with bashmarkdown parser doesn???t recognize cmd.	False	
feat: add commandline.removeswitch (#30933)* feat: add commandline.removeswitchin some cases apps may want to remove chromium command line switches to avoid certain chromium behaviors being used, e.g. remote-debugging-port or gpu-launcher* fix: add missing removeswitch to app.tsco-authored-by: milan burda <milan.burda@gmail.com>	True	
bump v14.0.0-nightly.20210505	False	
make docs for webview.findinpage and webcontents.findinpage consistent	True	
test: add retries to another beforeunload test (#23644)	True	
bump v18.0.0-nightly.20220118	False	
ci: do not use the mocha_file env variable (#19171)it is not used in a expected way anyway.	False	
omit extra transfer of new-window event	False	
chore: use //chrome resources directly (#33626)	True	
fix bullets formatting in documentation	True	
set chrome_version_string to 66.0.3359.117	True	
save coverage on beforeunload event	True	
add failing spec for insertcss	True	
add spec for heap snapshot crash (#66).	True	
return null for no focused window when calling browserwindow.getfocusedwindow()	True	
fix: notifications successfully never timeout with included flag (#25820)co-authored-by: mlaurencin <mlaurencin@microsoft.com>	True	
s/troubles/problems/	False	
chore: remove deprecated apis (#18159)	False	
refactor: mmap asar files (#24470)	True	
add download from custom protocol test (#11931)	True	
set javascript apis on prototype of webcontents	True	
increase unresponsive time to 2s when closing.fixes https://github.com/atom/atom/issues/1793.	True	
chore: remove unused shell/common/crash_reporter/win/crash_service.cc (#21349)	False	
improve default page.	False	
slightly improve docs of webcontents.printtopdf	True	
:art:	False	
make devtools api aware of devtools window.	True	
docs: coordinate system of badly named method getcursorscreenpoint (#27156)* document coordinate system of badly named method getcursorscreenpoint[electron inherits this confusing name from chromium](https://github.com/chromium/chromium/blob/99314be8152e688bafbbf9a615536bdbb289ea87/ui/display/win/screen_win.cc#l677-l681). we can also see there that the return value is a dippoint, due to `screentodippoint` call:gfx::point screenwin::getcursorscreenpoint() {point pt;::getcursorpos(&pt);return gfx::toflooredpoint(screentodippoint(gfx::pointf(gfx::point(pt))));}i lost over a day due to debugging this. i don't think we can change the method name due to backwards compatibility, but we can at least make amends in the documentation.* remove advice* softer wordingco-authored-by: cheng zhao <zcbenz@gmail.com>	True	
add ses.getuseragent()/setuseragent(...) apis	False	
refactor: convert more files to typescript (#16820)	True	
:memo: update `readme-ko.md`[ci skip]	False	
bump v8.0.0-nightly.20191109	False	
test: add specs for custom dictionary api (#22158)* tests* test: add specs for custom dictionary api* await	True	
build: fix path to git attributes for for patch export (#24896)	True	
disable typedarrays-test.js	False	
make nav link text clickable	False	
fix broken linkfixed broken link "how to share data between web pages" in section "differences between main process and renderer process"	True	
docs: clarify crash report extra param length (#18386)resolves #17746.clarifies that the extra field of the crashreporter options object only needs to be < 64 characters on windows.	True	
add a new spec for https://github.com/electron/electron/pull/10008	True	
prevent node from adding paths outside this app to search paths	True	
refactor: omit duplicates from app's x11 icon list (#22702)* refactor: omit duplicates from app's x11 icon list* empty commit for ci	True	
remove inspectable_web_contents_	False	
refactor: use chromium x11 error handler (#25611)	True	
update brightray for #5503	True	
update brightray for fixing the 'archs' issue.	True	
fix: cannot access nativetheme via electron.remote (#20938)	False	
don't serialize arraybuffer as array	False	
fix compilation errors	False	
:memo: mention platform limitations on linux.	True	
fix styling issues	False	
fixed the mapnumbers require callsince mapnumber.js is a file, we should prefix it with "./", otherwise an error is thrown.	True	
docs: webcontents console-message event is emitted for offscreen windows (#20386)since c3d11a51cc03ec5e891ab6d86e8f6f2abe56cf58	True	
skip eslint on our windows build machine for now	True	
revert "bump v4.0.0-nightly.20181003"this reverts commit 76dab5ebd136c79055dcf62ebb48ff6e7220467b.	False	
fix inconsistent docs: downloaditem.geturl() => downloaditem.geturl()	False	
cut down platform notices a little	True	
fix signature of <webview>.executejavascript	False	
fix: do not enable node integration in child window if not enabled (#15076)	False	
add skuserconfig.h with blank skdebugf macrothis file was copied from:./third_party/skia/include/config/skuserconfig.hbut because of this linking error we needed todefine a macro for skdebugf.```"skdebugf(char const*, ...)", referenced from:skbitmap::allocpixels(skimageinfo const&, unsigned long) inlibbrave_lib.a(brave_lib.native_desktop_media_list.o)ld: symbol(s) not found for architecture x86_64```there used to be a hack to copy this file here which was removed:https://github.com/brave/libchromiumcontent/commit/8de9d9e2bcf455ba70e8005016150ab55690cb59	True	
fix: nswindow crash happening on macos 10.9 (#15660)	False	
ironed out some spelling and grammar issues.	True	
update networkdelegate* remove deprecated onresponsestarted.https://chromium-review.googlesource.com/c/chromium/src/+/763193* replace cookie lines with canonicalcookie in cansetcookie delegates.https://chromium-review.googlesource.com/c/chromium/src/+/775606* reporting: check upload permissions asynchronouslyhttps://chromium-review.googlesource.com/c/chromium/src/+/937566	True	
docs: webframe.insertcss should mention options arg (#33274)	False	
update api-browser-window-spec.js	False	
build: make ci faster, magic contained within (#21086)* build: cache the out directory for exact deps hash matches* chore: generate a target based depshash discriminator* fix: hash on gn args* build: share logic on the mac builds* build: ensure that the mksnapshot binary is built before stripping before zipping* build: attach the workspace on macos* build: optimize the macos checkout path for testing* build: fix mksnapshot zip generation* build: make the mac src cache restore work* build: v2 out cache* build: macos cache restore is just stupidly slow* build: strip more binaries* build: attach the out cache to the workspace for macos builds* build: allow linux boxes to restore darwin out caches* build: cat the deps hash target file* build: ensure that the deps target hash matches on the linux box* build: do not use host arch in target key* build: force undefined in the target hash file* build: only restore out cache when it isn't in the workspace* build: fix the macos cache workspace trick* build: do not double restore* build: remove the big stuff from the out dir* build: workaround layer issue* build: try it back on macos again but with smaller thingy* build: macos needs the out cache now* build: clean up for omptimal macos path* build: use old docker image* build: idek at this point* build: we need a deps hash* build: yeah we need a checkout too* chore: use testing env on save cache job* chore: well that should fix the cache key thing* chore: handle cross-os path mismatch for src cache restore* build: use a /portal directory to transfer the src cache appropriately* build: use the correct docker image* build: super perms for /portal* build: increment out cache number* build: ensure target hash is correct for args + disable pre-compiled headers on macos* build: wipe the cross-arch libffmpeg before building electron	True	
update as upstream[ci skip]	False	
doc browserwindow.setcontentbounds	False	
default locale to en	True	
refactor: implement isremotemoduleenabled via getlastwebpreferences() (#19220)	True	
fix compilation warning on windows	False	
remove permission manager from brightrayelectron manages its own implementation, this wasmissed out when merging the brightray/ component.	False	
feat(extensions): add chrome.tabs.connect api (#22457)* feat(extensions): add chrome.tabs.connect api* test(extensions): verify that chrome.tabs.connect port communication works	False	
update as upstream	False	
chore: use http status code constants (#29378)	False	
test: use exit event to wait for process exit (#21865)	True	
bump v9.0.0-nightly.20191221	False	
spec: cookie test should not rely on cookie's countother apps can also write cookie to `file://` protocol.	True	
list all the possible folders for linux.linux has several folders, depending on who is using the linux install.  on our systems it could be any one of those depending on the user and what software they prefer to use, they all have the react plugin however, each one sits in a different folder.  i prefer chrome because of netflix, she prefers chromium and we also have chrome beta available.	True	
make all the windows code compile for chrome 31.	True	
getblockingpool has been removed	False	
no need to add "app" to search paths	True	
move didclearwindowobject into rendererclientbase.also adapt atomsandboxedrenderframeobserver to forward didclearwindowobject torendererclientbase.	True	
override the user agent to contain application and atom-shell's version.	True	
chore: remove deprecated crashreporter apis (#26695)	False	
absolute_path -> normalize_path	True	
don't upload aliased arm builds anymorethey are literally a copy/paste of the armv7l builds, and have beendeprecated ever since they were renamed 2 years ago.	True	
write a new method that returns prefs under the nsglobaldomain.	False	
cleanup docs, improve grammar	False	
update devtoolsnetworktransaction	True	
ci: speed up release (#22126)* build: speed up release builds by using workflows* don't get depot-tools twice* do not use source from cache* checkout boto and requests for release builds* make sure vendor dirs are persisted.* use git cache for releases.* show sccache stats right after build* make messages easier for sudowoodo to consume.	True	
print enhancement: add webcontents.printerlist and a print option to select printer	True	
refactor: move terminationstatus converter (#26520)	True	
bump v9.0.0-nightly.20191222	False	
0.21.2	False	
feat: add registeraccelerator flag to allow menu items to optionally skip accelerator registration (#15723)* feat: add registeraccelerator flag to allow menu items to skip registration* docs: add docs for registeraccelerator* docs: re-add accidentally removed line	True	
change base::jsonreader::readtovalue() to return optional.https://chromium-review.googlesource.com/c/chromium/src/+/1476186	True	
fix cpp linter errors	False	
fullscreen => fullscreen. fixed #19.	False	
feat: make window visual effect state customizable (#25083)	True	
chromium_src print_job updated to match current chromium implementation in quit method	True	
refactor: make templateimage a property on nativeimage (#18124)* refactor: make templateimage a property on nativeimage* update docs/api/native-image.mdco-authored-by: codebytere <codebytere@github.com>* fix nativeimage prototype deprecation* update for new property name* update docs/api/native-image.mdco-authored-by: codebytere <codebytere@github.com>	True	
fix crash when requesting invalid url	False	
fix cpplint errors in inspectable_web_contents_view_win.h	False	
:wrench: spec: don???t use deprecated `new buffer()`	False	
include headers of mojo	False	
update value type to any	True	
:memo: correct description style[ci skip]	False	
pass opener id in command line	False	
don't require multipart for uploading to s3.the file we are uploading is not large, and multipart works really badon bad networking.	True	
revert "bump v20.0.0-nightly.20220412"this reverts commit 1c53fc43311f4056bfad0b90c43690d9d757b6ef.	False	
fix cpplint warning	False	
calling non-const callbacks requires some tricks	True	
bump v5.0.0-nightly.20190110	False	
add a few more api bindings	False	
follow docs style guide for string enums	True	
fix: make draggable regions work when devtools is opened on macos (#26361)* fix: make draggable region work when devtools is open* fix: update draggable regions when resizing	True	
use iskindofclass	False	
fix: always include pepper flash font file (#30928)	False	
linux: make modal dialog show more smoothly	False	
add <webview>.getid, fixes #818	False	
make objective-c's categories work.see more on:http://stackoverflow.com/questions/2567498/objective-c-categories-in-static-library	False	
enable overriding ua strings.	False	
linux: put "uploads.log" under "/tmp/productname crashes/"	False	
delete node's symbols after environment has been loadedfix #1803.	False	
win: gfx::enablehighdpisupport is dropped	False	
show uncaught exception in message dialog.	False	
chore: bind=>bindrepeating for constructors (#17924)	True	
fixed docs sample code programming error for downloaditem	True	
mention setuploadtoserver only has effect after start	True	
bump v1.3.5	False	
test: throw if no valid outdir (#22412)	False	
add app.disablehardwareacceleration() api	False	
fix vsts token generation url	True	
fix returning the chosen option for synchronous dialogs.	True	
chore: bump node to v16.10.0 (main) (#31094)co-authored-by: shelley vohr <shelley.vohr@gmail.com>	True	
fix change of showdesktopnotification api	True	
[ci skip] :memo: translate repl.md	False	
fix linking problem with ipc::messagetipc::messaget<chromeutilityhostmsg_processstarted_meta, std::__1::tuple<>, void>::messaget(ipc::routing)	False	
print pid when logging.	False	
docs: use | instead of 'or' for docs (#18512)	True	
enable idle gc for both browser and renderer.	True	
line lengths!	False	
use lowercase param key	False	
fix focusing message box	False	
roll chrome to 72.0.3626.52 and update patches	True	
use calculatefingerprint256()	False	
:memo: add security tutorialadd basic information about electron and security, including aninvitation to contribute to security features. contains information by@zcbenz, @zeke, and @paulcbetts.	True	
win: no need to set default linked libraries	True	
use es6 style class	False	
just ignore all oserror for rm_rf	True	
allow override browsermainparts::initproxyresolverv8.	True	
update to electron v1.3.12	True	
relay electron exit code	False	
bump v11.0.0-nightly.20200821	False	
remove extra newlines around comments	False	
use our fork of v8valueconverter for all cases.	True	
update touch bar spec	True	
add downloaditem.getstate	False	
test: remove remote usage from asar spec (#20513)	False	
add failing browserwindow.fromdevtoolswebcontents spec	True	
chore: roll libcc deps (#13917)	False	
add last known working electron version	False	
update highlights	False	
bump node.js version in .node-version	False	
osx: capture 3-finger swipe events in nativewindow	False	
docs: document the `disposition` parameter	False	
test: node integration in web workers	False	
fix: record cpu_profiler data for main process (#21187)* fix: record cpu_profiler data for main process* kick ci	True	
bump v5.0.0-nightly.20190121	False	
if the window's transparent it also needs to be textured.	True	
update workspace visible apis.	False	
remove hyphenated options	False	
map webcontents.delete to role	True	
update webframe.registerurlschemeasprivileged docs to be more specific	True	
add build script	False	
feat: add a series of new printing options (#18984)	False	
update buffer length asserts	False	
fix converting empty v8 dictionary.	False	
ci: enable arm64 macos tests (#24832)* ci: enable arm64 macos tests	False	
fix: implement 'login' event for webcontents (#20954)	True	
feat: use run-clang-format in cc --fix mode	True	
update globalshortcut api design.* rename shortcut api to globalshortcut for better suite.* implement the new design interfaces.* put the chromium related source code to the same directory as in chrome.	True	
fix 'user strict' typo	False	
fix example code	False	
[onionsoup] replace network::dataelement::type with dataelementtypehttps://chromium-review.googlesource.com/c/chromium/src/+/1393106	True	
get image notifications working on win7 + win10	False	
updated example of implementing a protocol.these changes demonstrates a more usable protocol implementation.	True	
:memo: fix the fix	False	
:bug: ooops, fix that	False	
pass crashes directory to crash service process	True	
build: fix building with enable_builtin_spellchecker = false (#21334)	False	
chore: fix typos in comments (#29401)	False	
add initial ready-to-show spec	True	
feat: expose systempreferences.getsystemcolor() (#16248)	False	
mac: link with all necessary system libraries	False	
ci: trigger an arm test on vsts after circleci build (#14898)* ci: trigger an arm test on vsts after circleci build	False	
