GitCommitMessage	IsUseful	MatchedOnKeyword
add add_test_data() to ixmp.testing; formerly in test code	True	
apply consistent format (pr link last) to 3.x-series release notes	True	
add tests/generalize code for future xr.dataarray conversion	True	
update docs autosummary of ixmp.reporter	True	
corrected format in tables of *python[ixmp package] section of docu	True	
update release notes	False	
appease stickler	False	
adjust test_jdbc.test_handle_config() for windows	True	
move and update codecov.yml	False	
corrected typos and formatted the ixmp reporting docudone by also editing the docstrings of different methods of the reporter class as well as other main classes	True	
add a test of cachingbackend.del_ts	True	
document new key methods	False	
initial backend file/class tree	False	
add 'export' and expand 'import' cli commands for excel scenario data	True	
documenting imxp.scenario.units() and correction of typos	True	
parametrize tests for both kinds of reporting.quantity	True	
fix writing down timeseries changes (#324)- add test for add/remove timeseries with long name- updated ixmp.jar- source diff https://github.com/iiasa/ixmp_source/compare/6ec77036a0850d8ff3170f662d542a77c44c119e...ef6772bb7476c302e7c89a90d8232ac81a5cdccb- exclude a test due to issue with dependency update	True	
tidy reporting.computations: method order, docstrings, pint usage	False	
re-use common test data in test_platformthe file is shortened by about 30%.	False	
adjust testing.assert_log for py36 compatibility	True	
avoid shuffling dimensions in reporting.computations.aggregate()	False	
use a temporary directory for gamsmodel input/output gdx files	True	
pass test for reporter.add(..., sums=true)	True	
test set_meta() with invalid type raises typeerror	False	
updating db migration for hsql and macro support by extending varchar in ix_key table (#86)	True	
add #354 to release notes	True	
use quiet=true in more tests/fixtures where gams output isn't needed	False	
don't drop levels for attrseries.sel() on single dimension	True	
move gdx-related calls to jdbcbackend	True	
update docs for messageix release (#25)	True	
log a warning when filtering too heavily	False	
move utils.import_timeseries to backend.io.ts_read_file- timeseries.read_file: new method.- timeseries.add_timeseries: add a `year_lim` argument, so limitingdata by year can be done even when not reading from file.- core.to_iamc_template: rename to core.to_iamc_layout, updatedocstring, remove duplicate set computation.- simplify cli.import_timeseries.- update docs.	True	
use solve(???, quiet=true) by default in testing.make_dantzig()this shortens output from pytest considerably, especially when thedanztig model is solved in a fixture/test setup and its output is notrelevant to the test per se.	True	
add ms_cat_set_elements to backend for message_ix	True	
rework configuration defaults	False	
add a "report" extra requirements target including genno[compat]	False	
combine test_feature_geodata with test_timeseries	False	
illustrate that stray scenarios reference platform and thus backend	False	
also warn() from .utils.logger()	False	
update release notes	False	
adjust imports from ixmp.testing	False	
add 'units' arg/column handling to reporter.add_file()	True	
use weakref to refer to platform from timeseries; add tests	True	
streamline config	False	
add ixmp_jdbc_exception_verbose global option & tests, use in ci	False	
simplify and update readme; fix github actions badge	False	
update ixmp.jar based on commit b6812f206b03ed3f3a849cdf299a91c0230ffc26 (#185)- include timeseries changelog fix	False	
accept "#new" as a version/fragment in tools.parse_url()	False	
remove "sparse" from direct requirements in setup.cfg	False	
check model access (#167)* check model access- added method to check model access- improve error handling in platform constructor- add tests for check model access with mock http server- fix test- ixmp.jar built from f8ca8599090bb30625b879b99b2d93e2d51b0e53* fix travis/apveyor ci* minor changes (docstring, quotes etc)	True	
satisfy flake8	False	
add test_excel_io_filters()	False	
replace test_mp_props with test_mp in test_reporting_cli	False	
remove commented diagnostic code in computations.data_for_quantity	False	
new `ixmp.jar` with timeseries filters and messageix bugfix (#17)* new `ixmp.jar` with timeseries filters and messageix bugfix- adds filters for retrieving timeseries data from teh database- fixes a bug when using the `clone-and-slice` option with message-scheme scenarios concerning the `resource_volume` updatefrom commit `0379b77bcd4a8c2e303a3c5a8ba767c9f0385043` on ixmp_source* add dependency jars for better authentication methods	True	
reset to development state	True	
update utils.format_scenario_list for empty results	True	
add concat() to computations.__all__	True	
update jarfile to current ixmp_source master (#94)- replace jarfile (compiled with jdk8)- fix migrations in test db (ixmptest.script)- add start hswldb client script	True	
preallocate dataframe in jdbcbackend.item_get_elements	False	
revise test_update_scenario() to use only ixmp features	True	
add postgresql dependency jar	False	
update tutorial/readme links for 2.0.0	True	
fix typo in docstring of reporting.computations.select (#352)	True	
sync all version numbers (#45)	False	
update readme and documentation (#154)- update readme files- initial clean-up of docs- complete clean-up of docs to align with messageix docs organization- update some links in readme- add long_description to setup.py	True	
add four testing fixtures/utilities- ixmp.testing.memory_usage- ixmp.testing.random_ts_data- ixmp.testing.add_random_model_data- ixmp.testing.resource_limit	False	
debug appveyor ci 1	False	
fix indexing of keys from reporter.add_product()	True	
address sphinx warnings	False	
bump minimum pandas version	False	
geodata rebased (#186)* add support for handling geodata* updated release notes* minor indentation fix* minor: adapt release notes	True	
move setup-r action before cache; use r version in cache keythis ensures r_libs_user is available for cache restore.	True	
skip tests using 'resource' on windows/appveyor	False	
further document base.model.initialize	False	
exclude jpype 0.7.4 for #279	True	
combine test_regions with test_platform	False	
reformat scenario.remove_set docstring	False	
improve test coverage of reporting.quantity	True	
remove python 3.6 exclusion in sphinx step of "pytest" ci workflow	True	
appease flake8	False	
new `ixmp.jar`: bugfix when connecting to hsqldb from multiple notebooks (#121)from ixmp_source commit `19ae12e7ca10e84d5e86f6b5d08657503f55081a`	True	
importing ixmp in setup breaks conda	False	
remove python 3.6 compatibility code	False	
reset release notes to development state; add #330	True	
update issue templates	False	
add git to dockerfile for teamcity	True	
add functions to view and define regions/synonyms for timeseries data (#125)* add functions to work with regions for timeseries data, add unit tests* add `ixmp.jar` with extended timeseries features and bugfix for cloning across platformsbuilt from commit `e282b7005b9c3ab373ffc4d8129080d2df70db81`* appease stickler and @gidden* add to release notes* appease @khaeru* appease python 2.7 on windows	True	
remove content in doc/reporting that duplicates genno docs	False	
add backend.base.cachingbackend	False	
add gcc, python3-dev to ci/dockerfile for python psutil	True	
add type hints to scenario.add_par()	True	
update workflow comments re: missing python 3.9 wheels for dependencies	True	
document base.backend methods for platform	True	
import from .reporting.util, not genno.compat.ixmp.util	False	
fix flag value for end of iteration in diff(); add test_diff_items	True	
add #398 to release notes	True	
simplify notice and clarify different with messageix	False	
flatten doc/ tree- remove source/ subtree	False	
appease stickler	False	
add at_level argument to testing.assert_logs()	True	
catch more exceptions in reporting.utils.parse_units	False	
sync pytest in ci/conda-requirements.txt with setup.py	False	
prototype of 'ixmp list' cli command	True	
add windows ci (#50)	False	
localconfig (#42)	False	
create importable testing.create_test_mp	False	
adjust level of caplog fixture in test_run_clone	True	
exclude benchmark tests from coverage measurement	False	
adjust usage of testing.make_dantzig in r tests	True	
make class used by ixmp.cli.main configurable (for iiasa/message_ix#307)	False	
adjust test_reporting_cli	False	
update release_notes	False	
remove prefixes on backend names; streamline import hierarchy	False	
use sphinx.ext.extlinks in release notes	False	
un-ignore pytest for typing	True	
update testing.test_mp fixture to use an in-memory database	True	
document #217; update release_notes	False	
also write to gdx in test_reload_cycle- use a 2d parameter in testing.add_random_model_data- appease stickler	True	
properly mark deprecation of scenario.remove_meta()	True	
add get_units to backend	True	
expand set of pages appearing in docs navigation sidebar	True	
split reporting.quantity and reporting.attrseries- make quantity() a factory method rather than class/type.- quantity.class is a string used to check the current implementation.- remove reporting.as_quantity and all uses of this function;quantity(...) now does the same.- move attrseries.align_levels from computations.product.- update testing.assert_qty_equal and .assert_qty_allclose.	True	
further parametrize timeseries tests; add transact()	False	
add reporting.computations.add (from message_ix)	False	
edit migration tips in release_notes	False	
always fetch the pint 'application registry' from within functions	False	
remove direct imports from ixmp.backend.jdbc in ixmp.core	False	
add one graphviz diagram for reporting	True	
add a user-friendly message when no jvm is found (closes #249)	False	
update install.rst, release notes	False	
cover & hotfix untested scalar values/units in add_par()- this test gap was revealed by iiasa/message_ix@e7d4c6a.	False	
remove test_find_dbprops (test of removed method)	True	
add #317 to release notes	True	
squash a warning in testscenario.tset_load_scenario_data_clear_cache	False	
update the cla to include github licenses and suggested changes by lawyers (#23)* add license info* integrate suggested changes by the lawyers	True	
add test_invalid_properties_file	False	
clean up teamcity build scripts	False	
replace backend.jdbc.iddict with weakref.weakkeydictionary	False	
add timeseries, scenario methods to backend; warnings	True	
adjust indentation, use lower-case name for github pr template	True	
increase test_access timeout to 1.0 seconds for travis/macos	True	
correct check of scenario (sub)class in scenario.__init__	True	
organize shared data in the test suite	False	
move keys_for_quantity() to .reporting.util	True	
prepare v3.2.0	False	
add parameter for exporting all runs to platform.export_timeseries_data (#367)- add failing test for platform.export_timeseries_data()- update ixmp.jar- source diff https://github.com/iiasa/ixmp_source/compare/8ea775a091d213a981b9f82a2bb3622d7ee77fbe...f69e859ac7d829c2419cd4f19ccdc0e82e856b10- allow exporting timeseries of all model+scenario runs- add a parameter to platform.export_timeseries_data to allow exporting all model+scenario run combinations- add tests	True	
update release_notes	False	
update release_notes	False	
improve exception handling in jdbcbackend._get_item 2	False	
use shallow fetch in "lint" ci workflow	False	
add stickler yml (#57)	False	
add s_item_delete_elements to backend	True	
update install instructions (closes #196; closes #344)	False	
sort output in 'ixmp report' cli command	False	
revert accidental overwrite of model.base	True	
split "platform" cli command to a group; expand help	True	
update release notes	False	
remove hard-coded per-test model/scenario names	False	
quiet logging in .backend.io	False	
add #195 to release_notes.md	True	
avoid collision in test_jdbc.test_exceptions()	False	
add sparse to ci requirements	True	
fix exposing whole config file to log output (#232)- fix exposing whole config file to log output- fix returning db url as second element of tuple- check for folder (or empty string) specified as platform dbprops argument- add test for jdbc backend init output- update release notes- use test_data_path	True	
omit verbose pytest-cov output by default	False	
specify python version in install step [ci]	False	
ensure consistent log level in ixmp{,.core,.backend.jdbc}	False	
add --platform option to cli	True	
add #399 to release notes	True	
debug ci (#265)- appveyor: also cache c:\r\library- travis: always install r source packages- comment to describe travis configuration	True	
add unit tests for tutorials (#5)	True	
remove test_r.py	False	
appease stickler	False	
corrected format in tables of *python[ixmp package] section of docu	True	
handle keyword args to the computation in reporter.add	True	
silence a pandas warning in jdbcbackend	False	
add a quiet option to gamsmodel	True	
remove redundant curl installation on gha windows runner	False	
bump jpype requirement to 0.7.5 (#279)	True	
simplify existing tests- test_data_path need no longer be passed to make_dantzig()	True	
explicitly depend on nbformat >= 5.0 for test_computationerror_ipython	True	
apply path.resolve() in _config._iter_config_paths()	False	
squash warnings due to importing pandas.util.testing	True	
split .core.timeseries and .core.scenario- add type hints.- reflow docstrings and comments.	False	
update docker configuration for teamcity ci (#176)- update docker image for tests- add teamcity test reporting- add sample test execution script	True	
implement ts_set / simplify add_timeseries	False	
allow setting log_level via jdbcbackend keyword arguments	False	
expand test coverage in reporting.computations	False	
ignore missing type stubs for pyam-iamc to satisfy mypy	True	
disable travis caching of miniconda to resolve ci errors (#190)- don't cache miniconda packages on travis- increase verbosity in ci/env.sh	True	
limit branch builds on travis, appveyor	False	
add ixmp.model.gams.gamsmodel	False	
adding travis osx support (#58)* adding travis osx support* add release notes	False	
deduplicate jdbc._validate_dbprops, ._read_properties	False	
test timeseries.read_file(???, lastyear=???)	False	
update release_notes and docs	False	
bump sparse requirement, adjust test_sda_accessor()	False	
lint with flake8	False	
appease stickler	False	
expose name argument for test_mp fixture	True	
use '/', not '\', in windows jdbc urls	False	
update pytest markers; rename test_jdbc.test_gc	False	
update release notes	False	
ret ixmp (#69)* fixes in retixmp, improve readme, add in install.batstill not working with some specific new functions like add_horizon, where lists are passed as input, but mapping sets can be easily defined* add release note* stickler requirements* make path change for r users universal for any os* move up comment* code* add retixmp documentation + update tutorials	True	
update pr template to match message_ix	True	
update docstrings in backend.io	False	
handle typeerror in show_versions	False	
appease stickler	False	
handle tags properly in key.iter_sums(); needs tests	False	
skip calling model.initialize() when cloning	False	
remove scenario._java_kwargs	False	
improve documentation (#108)* add intersphinx mappings to jpype and pandas* test basic semantics of scenario.add_set, .init_set* improve docstrings of scenario.add_set, .init_set* edit many docstrings for platform, timeseries, scenario* address 2019-01-16 review comments by @danielhuppmann* resolve conflict in release notes* explain how timeseries.version is incremented	True	
protect tests from modules loaded by show_versions- ensures tests pass no matter which subset/order is run.- also tidy reporting.utils.parse_units.	False	
improve exception handling in jdbcbackend._get_item	False	
updated ixmp.jar- source diff https://github.com/iiasa/ixmp_source/compare/b6812f206b03ed3f3a849cdf299a91c0230ffc26...0f825c62879fc0600f357a5e14d19c5b90723335	False	
test excel i/o cli	False	
add test_jdbc.test_cache_clear	False	
point to message_ix help & support options from doc/index.rst	True	
mark v3.3.0 in release notes	False	
simplify contributing by pointing to messageix docs	True	
remove former workflow step for gams/graphviz	True	
coerce configuration keys from cli to the expected type	True	
improve reporting.exceptions to work in ipython/jupter/other repl	True	
allow existing item with matching names in io.maybe_init_item	False	
add tests of reporting.computations.add	True	
convert args tuple to list for pop() in jdbcbackend.handle_config()	True	
remove completed reporting requirement a7	False	
always use --no-manual in 'r cmd check' test	False	
remove unused files in ci/	False	
parametrized tests of deprecated platform() constructor args	True	
model.initialize() works on already-initialized scenario	False	
test reporting.rename_dims	False	
update copyright year and ece program name	False	
force graphviz version 2.38 from chocolatey on windows cihttps://chocolatey.org/packages/graphviz	False	
migrate us to travisci, removing circleci (#114)* add travis updates* remove circle, retest	True	
update documentation	False	
only test ixmp on travis	False	
consolidate config tests in a class; test 'late' register() call (#415)	False	
complete test_model_initialize	False	
remove __future__ in setup.py	False	
lint to appease stickler	True	
silence warnings in jdbcbackend.gc() when jvm is not running	False	
strengthen testing.protect_pint_app_registry	False	
expand documentation of reporting.key	True	
remove py2 checks/workarounds in r tests	False	
lint	False	
add github actions workflow for ubuntu-latest	True	
remove parametrize_quantity_class fixture; use the one from genno	False	
replace .ix with .loc (#105)* ixmp.core: replace .ix indexer with .loc* fix long lines in ixmp.core* describe change in release_notes.md	False	
bump minimum version of python to 3.7 in "pytest" ci workflow	True	
update url tests	False	
address mypy 0.800 warnings	False	
add ability to pass gams_args through solve api (#177)* add ability to pass gams_args through solve api* add ability to specify gams-line arguments in solve api* release notes and stickler* whoops* update docstring	True	
increase sleep in mock fixture 1000 ms	False	
use --no-multiarch in rcmdcheck(), for windows	True	
avoid usage of r devtools in ci	True	
update fetch-depth for gha lint workflow	True	
use simpler but stronger assertions in test_feature_timeseries	False	
add attrseries.from_series()	False	
move out all message tests, update testdb_setup.py to work (#49)	True	
move 'ixmp list' code to utils.format_scenario_list	True	
reorganize reporting tests	False	
use quantity.from_series in data_for_quantity	False	
add utils.show_versions	False	
extend r installation dependencies	False	
[r api] fix config and local hsqldb path issues, update tutorials (#8)	False	
remove unused import in utils	False	
adjust test_cli.test_main to new exception message	True	
specify python 3.8 in lint workflow	False	
ensure filters are always converted to string (#225)* add test_filter_str* use as_str_list() on filter elements* add test_cache_non_hashable* use as_str_list() on filter elements for cache keys* update release_notes* document string handling in backend.item_get_elements* switch back to object dtype* add commented code, comments, and reference to issues* simplify derivation of expected return value in test_filter_str	True	
update release_notes.md	False	
use pint.get_application_registry instead of singleton units	True	
add performance tests for scenario.add_par	True	
merge backend.s_add_set_elements and .add_par_values	False	
allow passing string to to_jlist (converting to singleton list) (#351)- explicitly convert string parameter to singleton list- add comment regarding jpype	True	
test unit substitutions are applied	False	
retixmp (reticulate) + 2 rixmp installations tips (#34)* ixmp installation problem when both 32 and 64 bit r version installed* reticulate ixmp and transport tuorialthe tutorials are exactly as the r tutorials, no specific feature of the python code is used* update the readme, suggesting the installation of the rtools* clean folder	True	
simplify ._config._locate()	False	
test_reporting_describe modified to retain the previous behaviour	True	
temporarily disable r cmd check in "pytest" ci workflow (#403)	False	
use as_str_list in filtered()	False	
add reporting.sparsedataarray	False	
add a hook to also build docs on ci (#44)	True	
update @genno.config.handles() semantics	False	
reflow comments and docstrings in ixmp.core and tests	False	
add genno, message_ix_models to show_versions()	True	
handle reporting filters using a @genno.config handler	False	
add backend.io.s_write_excel	False	
expand test coverage in model.base, model.gams, utils	False	
add ts_get_geo, ts_set_geo, ts_delete_geo to backend	True	
add s_add_set_elements to backend, rewrite add_set, expand tests	True	
fix up release notes	False	
add timeseries.transact()	False	
adjust test_config.test_set_get	False	
adjust testscenario.test_from_url	False	
[reporting] sum across all dimensions; check missing keys (#178)- add support for reporting scalar values- move ixmp.reporting.utils tests to a new file- add a (failing) test referring to a missing key- add reporter.check_keys and expand test- properly escape regexes in test_missing_keys- use check_keys in reporter.add()- also test that reporter.{dis,}aggregate() check missing keys	True	
fix jvm-args issues (#40)* fix jvm-args issues* remove `print()`	False	
reflow comments, docstrings, string literals	False	
document support for in-memory hypersql databases (closes #224)	True	
add codecov configuration and workaround rstudio/reticulate#571 (#192)- add codecov configuration:- install `codecov` instead of `coveralls` as a py dependency.- tweak setup.cfg, ci/coveragerc, ci/codecov.yml so that coverage is always computed, certain files are ignored.- adjust travis & appveyor ci to upload coverage reports.- add the coverage badge to readme.md.- add workaround for a reticulate bug (rstudio/reticulate#571).- rename `pytest.mark.testr` to `pytest.mark.rixmp`.- add lots of documentation and revise comments in travis and appveyor ci scripts so they are more directly parallel to one another.- update pr template.	True	
add cli.versiontype docstring	False	
add 4 methods to backend- s_has_solution- s_list_items- s_item_index- s_item_elements	True	
parametrize test_log_level	False	
add reporting.computations.store_ts	False	
streamline tests (#128)- ixmp.testing: new submodule for reuse of testing utilities.- create_local_testdb(): moved from tests/testing_utils.py- dantzig_transport(): replaces code in tests/test_integration.py andtests/testdb_setup.py.- consolidate test data in tests/data.- ixmp.platform.__init__: ensure dbprops is string, for java compat.- ixmp.default_paths: use path objects.- tests/conftest.py:- new fixtures: test_data_path, tutorial_path.- existing test_mp* fixtures: add docstrings, use tmp_path_factoryfixture.- new hook: pytest_report_header (replaces test_admin.py).- other tests: use pytest & ixmp fixtures.	True	
test an exception raised from scenario.add_par()	False	
sort items by name in io.to_excel()	False	
remove r cmd check from "pytest" ci workflow (closes #403)	False	
add s_set_meta to backend	True	
add .base.model.clean_path() to clean filenames of invalid characters	True	
set java_home in .appveyor.yml 2	False	
add s_get_meta to backend	True	
avoid using java classes until jvm is started	False	
documenting imxp.scenario.units() and correction of typos	True	
use scenario.scheme if no model arg to scenario.solve	True	
adjust reporting tests	False	
add utils.update_par	False	
make diff(???, filters=) optional	False	
initial release of the ixmp package (#1)this pr brings in the first release (after a major clean-up operation) of the ixmp package.- the java backend and all lib and database files- the python package and the current ad-hoc version of the r api- comprehensive unit testing for python, one placeholder unit test for r- two tutorial sets (python and r) based on dantzig's transport problem	True	
add clone, get_scenarios to backend	True	
implement jdbcbackend.handle_config(); use in config.add_platform()	False	
extend excel write/read to handle large data beyond the row limits (#309)* improve s_write_excel for writing data beyond maximum allowed rows* improve s_read_excel to read data from multiple sheets for one item* update release notes* make max_row an integer* extend cli and test_cli to test max row limit* extend core.py for input argument max_row for to_excel()* correct tests for backend.io* reduce max_row in tests* improve backend.io for a default max row and checking users input for that* reduce number of rows in tests to cover sets* correct append of data* update docs* update backend.io and cli to address comments from @zikolach* small change in text* remove extra if clause* add #309 to release notes* expand docstring and docs for scenario.to_excel(..., max_row=)* simplify handling of max_row argument in io.s_write_excel()* use a convenience function to read items from multiple excel sheets* use python built-ins to simplify io.s_write_excel()* use path.with_name() in test_excel_io()co-authored-by: paul natsuo kishimoto <mail@paul.kishimoto.name>	True	
add black and mypy to ci workflows	True	
lint tests.core.test_platform	False	
check type before len of key in scenario.add_set	True	
reporter.set_filters() with no args clears filters	False	
give more helpful messages on "ixmp list" user error (#262)* editing of *ixmp list* to show users why they get errors* undone some editing in previous commit d085bc5adfb3280b9747da99b7ea2c18a1258154 and fixed errors. test_main pending to be addressed* got rid of non-triggable errors and added error also for command report* adjusted import of pandas.testing* amke *test_main* to pass* bring coverage back to 100% in ixmp.clico-authored-by: paul natsuo kishimoto <account+github@paul.kishimoto.name>	True	
handle type coversion of equ_list, var_list in jdbcbackend.read_gdx	True	
use categoricaldtype for astype() in test_diff()	True	
convert java to python exceptions in get_scenarios() and commit()	True	
add filters when retrieving timeseries data from database (#11)* add `iamc_idx_cols` definition* rewrite `ixmp.timeseries.timeseries()` functions to use filters* add unit test to check iamc-output of new `timeseries()` function* update docstrings as suggested by @ofr-iiasa	True	
add #376 to release notes	True	
remove deprecated methods/args; mark 2.0 deprecations	False	
improve test coverage	False	
add set_node to backend	True	
increment dask requirement	False	
add #349 to release notes	True	
gitignore pytest-profiling output	False	
simplify testthat.r per testthat docs; add r tests	False	
add gams_version() to tests and docs	True	
use iiasa/actions/setup-gams in "pytest" ci workflow	False	
add #441 to release notes	True	
refactor test_feature_timeseries.py using new fixtures	False	
adjust data structure used by model.initialize_items	False	
adjust expected logging from data_for_quantity()	False	
correct tutorial references to model (#7)- debug windows tests- correct tutorial references to model	True	
handle old- and new-style sheets for index sets	True	
use modern, minimal sphinx makefiles	False	
use solve(???, quiet=true) in testgamsmodel	False	
add tests; remove computations.make_dataframe	False	
type scenario.__init__()	False	
return abspath from find_dbprops() (#123)- give abspath for dbprops in current directory- add py2 compatibility for filenotfounderror- handle missing config file in find_dbprops()- test that find_dbprops() returns an absolute path- update release notes	True	
flatten tests/data tree; adjust fixture use in test_access	False	
improve test coverage of model.base	True	
correct tests of logging in test_reporter	True	
add #396 to release notes	True	
collecte timeseries tests in a class	False	
disable appveyor cache	False	
add get_auth to backend	True	
copy when using values from gamsmodel.defaults to avoid modification	True	
update release notes for v3.0.0	True	
lint conftest.py	False	
add s_delete_item to backend	True	
debug appveyor ci 2	False	
exclude xarray code from coverage	False	
reorder pytest workflow steps to work around r-lib/actions#250	True	
handle key with tag in reporter.add_product()	False	
use explicit levels for tests of logging	True	
rm conda-based dep installs, closes #65 (#96)	False	
reporter.describe modified to not print by default	True	
address flake8 errors (stricter than stickler)	False	
skip test_gc	False	
addition of tmp_path fixture	True	
update model documentation	False	
add backend.io.s_read_excel	False	
add #444 to release notes	True	
add test_jdbc.test_del_ts to ensure object are garbage collected	True	
mark some lines uncovered by tests	False	
preserve attrs in reporting.computations.aggregate	False	
add #347 to release notes	True	
add implementation of `timeseries(subannual)` and tests (#295)co-authored-by: paul natsuo kishimoto <mail@paul.kishimoto.name>	True	
document more backend methods	False	
add tests for parse_url	True	
raise valueerror from jdbcbackend.get	False	
use index=true in rep.aggregate()	False	
add .readthedocs.yml	False	
add model.initialize, model.initialize_items	False	
fix string issues and refactor for more pythony code (#39)* add unit test for #35* add an `isstr()` function* refactor to `make_dims()` function* unpack tuples, fix unit test* cast args in `add_cat()` to str* more docstrings and pythonizing* more pythonizing* remove `isstr()` auxiliary function	True	
implement jdbcbackend.ts_delete	False	
test .testing.data.random_ts_data()	False	
fix docstrings (#306)	False	
bump version to 0.1.3	True	
add reporting.computations.apply_units	False	
attrseries.__init__: wrap .to_series() in a try clause- fixes test_reporting_aggregate, testquantity.test_assert	False	
make test_reporting.py more compatible with xr.dataarray	False	
test jdbcbackend.handle_config	False	
jdbcbackend.close_db doesn't throw needless exceptions	False	
use environment files to configure paths on gha	True	
improve performance of key creation for 2+-d parameters in add_par()- use pandas .agg() instead of .apply().- use other pandas features instead of the much slowerixmp.utils.as_str_list():- select the columns corresponding to idx_names in order.- use pandas .astype(str), instead of applying str() to individualelements.- use series.tolist() instead of list().	True	
convert test_access.with_mock_server to a fixture	True	
test package build on prs also	False	
adjust test_reporting_platform_units for pint 0.10pint 0.10 is more forgiving of invalid characters; e.g. in 'g$', the '$'is discarded, and the unit is parsed as 'g' (gauss). use 'e$' in thetest.	True	
switch to conda-install, cleaner readme (#43)	True	
improve attrseries.squeeze()	False	
add test for reporter.add(..., sums=true)	True	
deduplicate to_jlist in jdbcbackend; clarify api; edit docstrings	False	
migrate `rixmp` package from `ixmp_dev` (#19)	False	
update release_notes	False	
handle filters in scenario.to_excel and "ixmp export" cli	False	
move from_url and *_meta arguments to timeseriesnothing about these is specific to scenario objects/model data.	True	
increase jpype minimum version to 1.2.1	True	
add backend.handle_config() method	False	
update release notes	False	
simplify test_format_scenario_list()	False	
re-add range as valid key type for scenario.add_par	True	
write empty sets after items with data in io.to_excel()	False	
tune cast of config keys on read/cli set	True	
remove rixmp from the documentation and tutorials	False	
changes caught by message_ix, yet not ixmp, tests 1	False	
expand test_reporter_apply()	False	
replace map with pojo on loading timeseries	False	
omit names from the item name -> ixmp type map if no data written	False	
keep comment with line it described	False	
test format_scenario_list	False	
remove ~/.local/ixmp as a config location; update release_notes	False	
update release notes	False	
add test_reporter_add_queue()	False	
add test_computations.test_apply_units, .test_select	False	
add test_cli.test_show_versions	False	
exclude jpype 0.7.3 for #279	True	
fix "pragma: no cover" comment on test_jdbc.test_gc_lowmem()	False	
add github actions workflow for windows-latest	True	
coerce path inputs to {to,read}_excel to pathlib.path	True	
import path library	False	
add #397 to release notes	True	
add dependencies to setup.py (#103)- set the "install_requires" and "extras_require" keyword arguments in setup.py.this ensures that the dependencies automatically installed with the package.- trim requirements.txt to remove old dependencies.- change the versioneer style to pep440-pre from git-describe to produce pep 400-compatible version strings that do not include '+'.- update readme	True	
add utils.parse_url	False	
scenario.add_set() with an empty key is a no-op	False	
adjust tutorial py_transport_scenario to remove deprecated calls	True	
revise order of outputs from utils.show_versions; fix 'iam_units' dep	True	
update test_capture_message	False	
replace .reporting with genno.compat.ixmp as of v0.5.0; adjust imports	True	
update release_notes	False	
use maybe_commit to reduce complexity in backend???s_read_excel()	True	
revert 3bc8af6 (cf. #419)	False	
handle 'year' int dtype for message_ix after data load	True	
make appveyor ci more robust; support pandas 0.25.0 (#173)* use --no-progress for choco on appveyor to shorten logs* on appveyor/windows, install only binary r packages, not source* update rixmp installation instructions (closes #169)* bump jpype dependency to 0.7 (leftover from #164)* force install of pytest>=3.9 on appveyor* attempt to fix unit test failure with copy()* debug failure in test_reporting_units* add attrseries.__finalize__* remove debugging print() statements	True	
hotfix redefinition of existing units (iiasa/message_ix#211) (#155)	True	
add testscenario.test_add_par2(), confirming #373	False	
silence backend logging on teardown of test_mp fixture	True	
fix test_get_timeseries_iamc	False	
remove obsolete test_config.test_get	False	
increase a number of scenarios in test	True	
allow disabling jdbcbackend caching	False	
